alpha,beta,run,hit_rate,cwhr,savings_dollar,latency_ms
0.0,0.0,0,0.3282,0.1564482898620549,0.3037258000000013,169.6591295237006
0.0,0.0,1,0.3424,0.20000198002342878,0.3747467499999985,167.21496419485263
0.0,0.0,2,0.3344,0.16877956978753622,0.26028100000000176,168.6280796537613
0.0,0.0,3,0.342,0.13436824963878777,0.19724950000000024,166.63386890082137
0.0,0.0,4,0.3316,0.15778311898704422,0.278263649999999,168.86112595726263
0.0,0.0,5,0.3564,0.126258077036184,0.21473410000000145,163.86855574776385
0.0,0.0,6,0.303,0.21093215451307704,0.43137639999999944,176.76411292649888
0.0,0.0,7,0.3488,0.12316099074343817,0.24254230000000096,166.43036570566838
0.0,0.0,8,0.3378,0.1448863430666808,0.30115750000000246,167.77513580329466
0.0,0.0,9,0.32,0.22398443128971185,0.45959025000000153,171.50848303189898
0.0,0.5,0,0.3618,0.31616981598772614,0.613806199999993,161.33584032729428
0.0,0.5,1,0.3712,0.30286083498708355,0.5674749499999958,160.12415606895718
0.0,0.5,2,0.357,0.26861339115617383,0.4142383000000011,163.26831196789647
0.0,0.5,3,0.3614,0.2424403107133124,0.3558967999999989,161.93179805930998
0.0,0.5,4,0.3604,0.24718222103675305,0.4359263999999975,161.9736143147089
0.0,0.5,5,0.3698,0.2196437306517977,0.37356025000000287,160.51562256642654
0.0,0.5,6,0.3454,0.3523455750599399,0.720580349999997,165.87654394085402
0.0,0.5,7,0.374,0.22048223412954468,0.4341981000000003,160.27273232366133
0.0,0.5,8,0.3614,0.3466882917117966,0.7206184999999952,162.50104711295236
0.0,0.5,9,0.3602,0.33829262734438464,0.6941375000000033,161.72770429561362
0.0,1.0,0,0.368,0.47096327903419427,0.914319349999993,160.09755932650668
0.0,1.0,1,0.375,0.42782235528643164,0.8016172499999952,159.09118853813658
0.0,1.0,2,0.3524,0.378059336801552,0.583018799999999,164.57074739349457
0.0,1.0,3,0.3564,0.3519131089928511,0.5166003500000025,163.20427479218273
0.0,1.0,4,0.3692,0.3583870712305143,0.632045399999991,159.99666930078843
0.0,1.0,5,0.373,0.34986060752359277,0.5950272999999989,159.36795860040795
0.0,1.0,6,0.3574,0.4805267040096671,0.9827230000000043,162.96991277370992
0.0,1.0,7,0.3714,0.37560922638401645,0.7396913999999966,160.70191039022546
0.0,1.0,8,0.362,0.5139401221763447,1.0682644000000128,162.29502298402417
0.0,1.0,9,0.3764,0.47233241359359046,0.9691716999999961,157.89142455293674
0.0,1.5,0,0.345,0.5634148962177132,1.0938031999999969,165.6527020130173
0.0,1.5,1,0.3486,0.5336678701224147,0.999941600000004,165.58022121947957
0.0,1.5,2,0.3148,0.45970633453333526,0.7089295500000012,173.16888688016246
0.0,1.5,3,0.3246,0.4561062605204303,0.6695535000000048,171.08637875997252
0.0,1.5,4,0.353,0.4565060910226896,0.8050864499999895,164.40198789143207
0.0,1.5,5,0.333,0.43420298516185785,0.7384730499999982,168.9757324577556
0.0,1.5,6,0.3254,0.5745211898417485,1.1749507000000081,170.78394511098273
0.0,1.5,7,0.322,0.5092735350263726,1.0029179999999995,172.56777528044097
0.0,1.5,8,0.3244,0.5896728510321937,1.2256807500000184,171.33330376162235
0.0,1.5,9,0.3588,0.5567616905198567,1.1424108499999917,161.9358272361965
0.0,2.0,0,0.3096,0.6127461868131638,1.1895740499999992,174.02456016441315
0.0,2.0,1,0.3072,0.5853879501004181,1.0968503000000056,175.4646401437167
0.0,2.0,2,0.2798,0.5118374472492921,0.7893228000000025,182.06590613549994
