policy_name,workload_name,cache_size,hit_rate,cost_weighted_hit_rate,dollar_savings,latency_p50,latency_p95,latency_p99,throughput,memory_overhead_bytes,n_queries,n_evictions,run_id,seed,cpu_percent_mean,cpu_percent_p95,rss_mean_mb,rss_peak_mb,gpu_utilization,grid_regime
LRU,high_variance_cost,10000,0.0248,0.025874716080118664,7.887723551420932,0.000600004568696022,0.0011050076864193396,0.001600012183189392,867912.4102845074,56,10000,9726,0,42,0.0,0.0,91.49609375,91.49609375,N/A (GPTCache eviction path is CPU-only),stress
LFU,high_variance_cost,10000,0.0251,0.025460112483406742,7.761334587609219,0.0040000013541430235,0.011799987987615168,0.01750000228639692,202192.57626844067,56,10000,9724,0,42,0.0,0.0,92.125,92.125,N/A (GPTCache eviction path is CPU-only),stress
FIFO,high_variance_cost,10000,0.0248,0.02584500019255988,7.878664874006926,0.0008999923011288047,0.0016999983927235007,0.0023999891709536314,581141.9438877201,56,10000,9726,0,42,0.0,0.0,92.1328125,92.1328125,N/A (GPTCache eviction path is CPU-only),stress
Random,high_variance_cost,10000,0.022,0.022954423575445068,6.997493108125328,0.001500011421740055,0.0033999967854470015,0.0048000074457377195,448201.3679829518,56,10000,9758,0,42,0.0,0.0,92.13671875,92.13671875,N/A (GPTCache eviction path is CPU-only),stress
"GDSF(a=1.0,b=1.0)",high_variance_cost,10000,0.0169,0.037931075366706105,11.563019110017535,0.0040000013541430235,0.008300004992634058,0.01279999574762769,198099.43401793938,56,10000,9814,0,42,0.0,0.0,92.1484375,92.1484375,N/A (GPTCache eviction path is CPU-only),stress
LRU,high_variance_cost,10000,0.0254,0.024225211646077,7.374736793126686,0.0007999915396794677,0.0014999968698248267,0.0022000021999701858,685598.3215020563,56,10000,9717,1,43,0.0,0.0,93.69921875,93.69921875,N/A (GPTCache eviction path is CPU-only),stress
LFU,high_variance_cost,10000,0.0224,0.02192095612742122,6.673266019518485,0.0040000013541430235,0.010900010238401592,0.017201000009663424,204062.05932953447,56,10000,9752,1,43,0.0,0.0,93.90625,93.90625,N/A (GPTCache eviction path is CPU-only),stress
FIFO,high_variance_cost,10000,0.0255,0.02438431978289685,7.423173134894671,0.0007999915396794677,0.0013999961083754897,0.0018999999156221747,714117.3870443704,56,10000,9716,1,43,0.0,0.0,93.91015625,93.91015625,N/A (GPTCache eviction path is CPU-only),stress
Random,high_variance_cost,10000,0.0235,0.024735646289841914,7.530125369410567,0.001100008375942707,0.0025999906938523054,0.003500012098811567,574874.5335226139,56,10000,9739,1,43,0.0,0.0,93.91015625,93.91015625,N/A (GPTCache eviction path is CPU-only),stress
"GDSF(a=1.0,b=1.0)",high_variance_cost,10000,0.0166,0.031957145451796856,9.728523317352828,0.0040000013541430235,0.007499998901039362,0.011299998732283711,209457.86023144488,56,10000,9816,1,43,0.0,0.0,93.91015625,93.91015625,N/A (GPTCache eviction path is CPU-only),stress
LRU,high_variance_cost,10000,0.0258,0.023696293206646898,6.907440162964292,0.0006999907782301307,0.0012999953469261527,0.0017999991541728377,794697.7760310535,56,10000,9715,2,44,0.0,0.0,94.71484375,94.71484375,N/A (GPTCache eviction path is CPU-only),stress
LFU,high_variance_cost,10000,0.0256,0.026277684429803883,7.659912511937272,0.0041000021155923605,0.011299998732283711,0.01780000457074493,199670.5435816308,56,10000,9720,2,44,0.0,0.0,94.71484375,94.71484375,N/A (GPTCache eviction path is CPU-only),stress
FIFO,high_variance_cost,10000,0.0262,0.023966133371446364,6.986098237274155,0.000700005330145359,0.001300009898841381,0.0017999991541728377,761962.8159469693,56,10000,9711,2,44,0.0,0.0,94.71484375,94.71484375,N/A (GPTCache eviction path is CPU-only),stress
Random,high_variance_cost,10000,0.0252,0.025554434732920652,7.4490861197865526,0.0011999945854768157,0.002700006007216871,0.0037999998312443495,566536.9296232673,56,10000,9725,2,44,0.0,0.0,94.71484375,94.71484375,N/A (GPTCache eviction path is CPU-only),stress
"GDSF(a=1.0,b=1.0)",high_variance_cost,10000,0.0184,0.039188842751752224,11.423499194701666,0.0040000013541430235,0.007399998139590025,0.010500007192604244,210446.12477134546,56,10000,9800,2,44,0.0,0.0,94.71875,94.71875,N/A (GPTCache eviction path is CPU-only),stress
LRU,high_variance_cost,10000,0.0228,0.02082825516484597,6.615500967081509,0.0006999907782301307,0.001200009137392044,0.001600012183189392,791132.9814433304,56,10000,9753,3,45,0.0,0.0,95.05078125,95.05078125,N/A (GPTCache eviction path is CPU-only),stress
LFU,high_variance_cost,10000,0.03,0.013419846304564201,4.262431274405133,0.0048000074457377195,0.013104997924528943,0.020499996171565726,172995.4156094871,56,10000,9672,3,45,0.0,0.0,95.0546875,95.0546875,N/A (GPTCache eviction path is CPU-only),stress
