policy,seed,steady_hit_rate,queries_to_95pct
LRU,42,0.87054,455
LFU,42,0.8926199999999999,492
FIFO,42,0.8460700000000001,429
GDSF,42,0.9076499999999998,513
W-TinyLFU,42,0.88657,483
ARC,42,0.89249,492
S3-FIFO,42,0.8954299999999998,1236
LRU,43,0.8747999999999999,910
LFU,43,0.8920899999999999,935
FIFO,43,0.85977,643
GDSF,43,0.90631,969
W-TinyLFU,43,0.8636499999999999,969
ARC,43,0.90304,954
S3-FIFO,43,0.8980899999999999,1966
LRU,44,0.8873499999999999,880
LFU,44,0.8855299999999999,880
FIFO,44,0.8519199999999999,524
GDSF,44,0.9141299999999999,1000
W-TinyLFU,44,0.8845399999999998,1002
ARC,44,0.8972899999999999,891
S3-FIFO,44,0.8948799999999999,1081
