policy,sigma,seed,hit_rate,cwhr,cost_saved
LRU,0.0,42,0.8628,0.8605817963647654,362.11757649146614
LFU,0.0,42,0.8676,0.8657317858870955,364.2846008610964
FIFO,0.0,42,0.8394,0.8377497223698929,352.5102441771853
GDSF,0.0,42,0.8728,0.8692522989541923,365.76597040115496
W-TinyLFU,0.0,42,0.8494,0.8480378948056103,356.83932490453225
ARC,0.0,42,0.8674,0.8656852693018862,364.26502750598496
S3-FIFO,0.0,42,0.8398,0.8391544277393902,353.10131931523216
LRU,0.1,42,0.8628,0.8605817963647654,362.11757649146614
LFU,0.1,42,0.8676,0.8657317858870955,364.2846008610964
FIFO,0.1,42,0.8394,0.8377497223698929,352.5102441771853
GDSF,0.1,42,0.8734,0.8700248861745148,366.0910614186889
W-TinyLFU,0.1,42,0.8494,0.8480378948056103,356.83932490453225
ARC,0.1,42,0.8674,0.8656852693018862,364.26502750598496
S3-FIFO,0.1,42,0.8398,0.8391544277393902,353.10131931523216
LRU,0.2,42,0.8628,0.8605817963647654,362.11757649146614
LFU,0.2,42,0.8676,0.8657317858870955,364.2846008610964
FIFO,0.2,42,0.8394,0.8377497223698929,352.5102441771853
GDSF,0.2,42,0.8734,0.8700248861745148,366.0910614186889
W-TinyLFU,0.2,42,0.8494,0.8480378948056103,356.83932490453225
ARC,0.2,42,0.8674,0.8656852693018862,364.26502750598496
S3-FIFO,0.2,42,0.8398,0.8391544277393902,353.10131931523216
LRU,0.5,42,0.8628,0.8605817963647654,362.11757649146614
LFU,0.5,42,0.8676,0.8657317858870955,364.2846008610964
FIFO,0.5,42,0.8394,0.8377497223698929,352.5102441771853
GDSF,0.5,42,0.8732,0.869783715998317,365.9895812803736
W-TinyLFU,0.5,42,0.8494,0.8480378948056103,356.83932490453225
ARC,0.5,42,0.8674,0.8656852693018862,364.26502750598496
S3-FIFO,0.5,42,0.8398,0.8391544277393902,353.10131931523216
LRU,1.0,42,0.8628,0.8605817963647654,362.11757649146614
LFU,1.0,42,0.8676,0.8657317858870955,364.2846008610964
FIFO,1.0,42,0.8394,0.8377497223698929,352.5102441771853
GDSF,1.0,42,0.871,0.8692200682049303,365.7524082727662
W-TinyLFU,1.0,42,0.8494,0.8480378948056103,356.83932490453225
ARC,1.0,42,0.8674,0.8656852693018862,364.26502750598496
S3-FIFO,1.0,42,0.8398,0.8391544277393902,353.10131931523216
LRU,0.0,43,0.8348,0.8357748689282225,350.2793881542268
LFU,0.0,43,0.8428,0.842106221841214,352.9329046776359
FIFO,0.0,43,0.8148,0.8114325495394148,340.07734325103337
GDSF,0.0,43,0.8514,0.8534740338998864,357.69723823275984
W-TinyLFU,0.0,43,0.8222,0.823796876501973,345.2593235239478
ARC,0.0,43,0.8454,0.8455111621009903,354.35994015720905
S3-FIFO,0.0,43,0.819,0.8214171197901367,344.26195000152194
LRU,0.1,43,0.8348,0.8357748689282225,350.2793881542268
LFU,0.1,43,0.8428,0.842106221841214,352.9329046776359
FIFO,0.1,43,0.8148,0.8114325495394148,340.07734325103337
GDSF,0.1,43,0.8512,0.8533308500981137,357.6372288494401
W-TinyLFU,0.1,43,0.8222,0.823796876501973,345.2593235239478
ARC,0.1,43,0.8454,0.8455111621009903,354.35994015720905
S3-FIFO,0.1,43,0.819,0.8214171197901367,344.26195000152194
LRU,0.2,43,0.8348,0.8357748689282225,350.2793881542268
LFU,0.2,43,0.8428,0.842106221841214,352.9329046776359
FIFO,0.2,43,0.8148,0.8114325495394148,340.07734325103337
GDSF,0.2,43,0.8506,0.8514533499106994,356.8503547265674
W-TinyLFU,0.2,43,0.8222,0.823796876501973,345.2593235239478
ARC,0.2,43,0.8454,0.8455111621009903,354.35994015720905
S3-FIFO,0.2,43,0.819,0.8214171197901367,344.26195000152194
LRU,0.5,43,0.8348,0.8357748689282225,350.2793881542268
LFU,0.5,43,0.8428,0.842106221841214,352.9329046776359
FIFO,0.5,43,0.8148,0.8114325495394148,340.07734325103337
GDSF,0.5,43,0.8502,0.8504805770356529,356.44265846750034
W-TinyLFU,0.5,43,0.8222,0.823796876501973,345.2593235239478
ARC,0.5,43,0.8454,0.8455111621009903,354.35994015720905
S3-FIFO,0.5,43,0.819,0.8214171197901367,344.26195000152194
LRU,1.0,43,0.8348,0.8357748689282225,350.2793881542268
LFU,1.0,43,0.8428,0.842106221841214,352.9329046776359
FIFO,1.0,43,0.8148,0.8114325495394148,340.07734325103337
GDSF,1.0,43,0.8488,0.8450826003839319,354.1803267928708
W-TinyLFU,1.0,43,0.8222,0.823796876501973,345.2593235239478
