policy,src,dst,seed,hit_rate_pre,hit_rate_post,delta_hit_rate
LRU,zipf,shift,42,0.8404,0.8428,0.0023999999999999577
LFU,zipf,shift,42,0.8404,0.832,-0.008400000000000074
FIFO,zipf,shift,42,0.826,0.8208,-0.005199999999999982
GDSF,zipf,shift,42,0.8416,0.8492,0.00759999999999994
W-TinyLFU,zipf,shift,42,0.8176,0.7968,-0.02080000000000004
ARC,zipf,shift,42,0.8404,0.836,-0.0044000000000000705
S3-FIFO,zipf,shift,42,0.8004,0.7976,-0.0028000000000000247
LRU,uniform,zipf,42,0.5492,0.8672,0.31799999999999995
LFU,uniform,zipf,42,0.5532,0.8372,0.28400000000000003
FIFO,uniform,zipf,42,0.5712,0.8452,0.2739999999999999
GDSF,uniform,zipf,42,0.74,0.9088,0.16880000000000006
W-TinyLFU,uniform,zipf,42,0.5368,0.8948,0.358
ARC,uniform,zipf,42,0.542,0.862,0.31999999999999995
S3-FIFO,uniform,zipf,42,0.4516,0.8596,0.40800000000000003
LRU,zipf,burst,42,0.8404,0.7464,-0.09400000000000008
LFU,zipf,burst,42,0.8404,0.4124,-0.42800000000000005
FIFO,zipf,burst,42,0.826,0.7272,-0.0988
GDSF,zipf,burst,42,0.8416,0.7188,-0.12280000000000002
W-TinyLFU,zipf,burst,42,0.8176,0.5416,-0.276
ARC,zipf,burst,42,0.8404,0.7408,-0.09960000000000002
S3-FIFO,zipf,burst,42,0.8004,0.606,-0.19440000000000002
LRU,burst,zipf,42,0.694,0.8448,0.15080000000000005
LFU,burst,zipf,42,0.3696,0.8456,0.47600000000000003
FIFO,burst,zipf,42,0.694,0.8324,0.13840000000000008
GDSF,burst,zipf,42,0.6452,0.8812,0.236
W-TinyLFU,burst,zipf,42,0.4916,0.8292,0.33760000000000007
ARC,burst,zipf,42,0.658,0.8384,0.1804
S3-FIFO,burst,zipf,42,0.486,0.8216,0.3356
LRU,zipf,shift,43,0.8172,0.8296,0.012399999999999967
LFU,zipf,shift,43,0.8184,0.8084,-0.010000000000000009
FIFO,zipf,shift,43,0.798,0.8088,0.01079999999999992
GDSF,zipf,shift,43,0.8232,0.8416,0.018399999999999972
W-TinyLFU,zipf,shift,43,0.7872,0.778,-0.009199999999999986
ARC,zipf,shift,43,0.8184,0.8232,0.0048000000000000265
S3-FIFO,zipf,shift,43,0.7792,0.7908,0.011599999999999944
LRU,uniform,zipf,43,0.5492,0.8548,0.3056
LFU,uniform,zipf,43,0.576,0.8432,0.2672
FIFO,uniform,zipf,43,0.5468,0.8348,0.28800000000000003
GDSF,uniform,zipf,43,0.7308,0.9096,0.17879999999999996
W-TinyLFU,uniform,zipf,43,0.5024,0.8876,0.3852
ARC,uniform,zipf,43,0.5692,0.848,0.27879999999999994
S3-FIFO,uniform,zipf,43,0.5136,0.8724,0.3588
LRU,zipf,burst,43,0.8172,0.7452,-0.07200000000000006
LFU,zipf,burst,43,0.8184,0.3888,-0.42960000000000004
FIFO,zipf,burst,43,0.798,0.7344,-0.06359999999999999
GDSF,zipf,burst,43,0.8232,0.7132,-0.1100000000000001
W-TinyLFU,zipf,burst,43,0.7872,0.5332,-0.254
ARC,zipf,burst,43,0.8184,0.7408,-0.0776
S3-FIFO,zipf,burst,43,0.7792,0.634,-0.1452
LRU,burst,zipf,43,0.6964,0.8296,0.13319999999999999
LFU,burst,zipf,43,0.37,0.8628,0.4928
FIFO,burst,zipf,43,0.6964,0.812,0.11560000000000004
GDSF,burst,zipf,43,0.6436,0.8688,0.22520000000000007
W-TinyLFU,burst,zipf,43,0.482,0.832,0.35
ARC,burst,zipf,43,0.6648,0.8172,0.1524000000000001
S3-FIFO,burst,zipf,43,0.4776,0.8152,0.3376
LRU,zipf,shift,44,0.8452,0.8324,-0.012799999999999923
LFU,zipf,shift,44,0.8456,0.8156,-0.030000000000000027
FIFO,zipf,shift,44,0.8392,0.8124,-0.026799999999999935
GDSF,zipf,shift,44,0.846,0.838,-0.008000000000000007
W-TinyLFU,zipf,shift,44,0.818,0.7864,-0.03159999999999996
ARC,zipf,shift,44,0.8456,0.8248,-0.02080000000000004
S3-FIFO,zipf,shift,44,0.7996,0.7888,-0.010800000000000032
LRU,uniform,zipf,44,0.5528,0.8464,0.2936000000000001
LFU,uniform,zipf,44,0.5452,0.8352,0.29000000000000004
FIFO,uniform,zipf,44,0.5548,0.8376,0.28280000000000005
GDSF,uniform,zipf,44,0.7244,0.9084,0.18399999999999994
W-TinyLFU,uniform,zipf,44,0.5348,0.9064,0.37159999999999993
ARC,uniform,zipf,44,0.5532,0.8536,0.3004
S3-FIFO,uniform,zipf,44,0.4468,0.8476,0.40080000000000005
LRU,zipf,burst,44,0.8452,0.7528,-0.09239999999999993
LFU,zipf,burst,44,0.8456,0.4444,-0.4012
FIFO,zipf,burst,44,0.8392,0.7312,-0.10799999999999998
GDSF,zipf,burst,44,0.846,0.7172,-0.12880000000000003
W-TinyLFU,zipf,burst,44,0.818,0.564,-0.254
ARC,zipf,burst,44,0.8456,0.7328,-0.11280000000000001
S3-FIFO,zipf,burst,44,0.7996,0.6152,-0.1844
LRU,burst,zipf,44,0.6916,0.8336,0.14200000000000002
LFU,burst,zipf,44,0.3556,0.8472,0.4915999999999999
FIFO,burst,zipf,44,0.6916,0.8232,0.13160000000000005
GDSF,burst,zipf,44,0.6508,0.872,0.22119999999999995
W-TinyLFU,burst,zipf,44,0.4712,0.818,0.34679999999999994
ARC,burst,zipf,44,0.6628,0.8244,0.16160000000000008
S3-FIFO,burst,zipf,44,0.4752,0.8092,0.334
